Judul,Tanggal,Penulis,Isi,Link Lengkap
"Zakiah Daradjat, Pelopor Pendidikan Agama di Sekolah Umum",,"['Aditya Widya Putri', 'Https', 'Www.Facebook.Com Tirtoid']",Kebijakan dan pemikiran mengenai pendidikan keagamaan banyak lahir dari Zakiah Daradjat. Ia ulama perempuan yang moderat di era Orde Baru.,https://tirto.id/zakiah-daradjat-pelopor-pendidikan-agama-di-sekolah-umum-cKpV?utm_source=Tirtoid&utm_medium=mozaik&utm_campaign=6684
"Gempa Berkekuatan M 6,7 di Banten, Getaran Sampai ke Jabodetabek",,"['Riyan Setiawan', 'Https', 'Www.Facebook.Com Tirtoid']",Getaran gempa yang berpusat di Banten terasa kuat sampai ke daerah Jakarta dan sekitarnya.,https://tirto.id/gempa-berkekuatan-m-67-di-banten-getaran-sampai-ke-jabodetabek-gnGv?utm_source=internal&utm_medium=stoppress
"Zakiah Daradjat, Pelopor Pendidikan Agama di Sekolah Umum",,"['Aditya Widya Putri', 'Https', 'Www.Facebook.Com Tirtoid']",Kebijakan dan pemikiran mengenai pendidikan keagamaan banyak lahir dari Zakiah Daradjat. Ia ulama perempuan yang moderat di era Orde Baru.,https://tirto.id/zakiah-daradjat-pelopor-pendidikan-agama-di-sekolah-umum-cKpV
Wardiman Wirjosapoetro Pilih Bela RI daripada Kembali ke KNIL,,"['Petrik Matanasi', 'Https', 'Www.Facebook.Com Tirtoid']","Wardiman

tidak mengada-ada. Saat dia

lahir pada 22 Juni 1934,

memang

ada

seorang

pensiunan kapten Koninklijk Nederlandsche Indische Leger (KNIL).

Nama lengkapnya

Wardiman Wirjosap

oe

tro.

Kapten Wardiman pensiun dari kemiliteran sejak

pertengahan 1924. Koran

(2/7/1924) memberitakan: Kapten Raden Wardiman telah berhenti dengan hormat atas permintaan

sendiri

dan pensiun setelah mengabdi beberapa waktu lamanya.

Kapten Wardiman terhitung pensiun muda. Dia l

ahir

pada

29 Oktober 1890

sehingga umurnya masih

34 tahun

kala pensiun

. Dia

juga

baru menikmati pangkat kaptennya selama tiga tahun.

Benjamian Bouman dalam

(1995,

hlm.

370) menyebut Wardiman naik pangkat menjadi kapten pada 7 Mei 1921.

Sebelumnya, dari 1914 hingga 1921, dia menjadi

menjadi letnan kelas satu infanteri.

Di era kolonial, m

asa kepangkatan letnan kelas satu di KNIL

memang

biasanya bisa lebih dari 7 tahun.

Itu berbeda dari TNI yang rata-rata hanya 4 tahun.

Wardiman dan Mardjana mulai dilatih di Sekolah Militer itu sejak 1907.

Kala itu, kursus baru saja dibuka sehingga mereka adalah angkatan pertamanya.

Het

N

ieuws van den

D

ag voor

Nederlandsch-Indië

sebagai perwira bumiputra pertama. Mereka lulus pada 1910 dan

kemudian dilantik sebagai

letnan kelas dua infanteri.

Memilih Pensiun Dini

(14/4/1916) menyebut pada 9 April 1916 Letnan Satu Raden Wardiman dan Letnan Satu Poll te

ngah

memperkuat pasukannya untuk melawan orang-orang Pasir. Pasukan itu bergerak ke hulu Kasungai untuk menghadapi sekitar 30 orang Pasir.

(6/7/1916) memberitakan pada Mei 1916, Letnan Wardiman dan pasukannya

berhasil

menangkap

dua tokoh penting dari kalangan pemberontak, yaitu

Pangeran Singa

Maulana

dan seorang bawahannya

yang bernama

Semarangkitin Tabalong.

Pada akhir 1918 itu, seperti diberitakan

(5/12/1918), keduanya menikah. Belasan tahun setelah pernikahan itu, seperti diberitakan

(8/3/1935), Raden Wardiman dan keluarganya

mendapat persamaan

status

sebagaimana

orang Eropa. Nama belakang keluarga itu adalah Wirjosapoetro.

Meski begitu,

Wardiman disebut tidak punya pekerjaan

kala itu

.

Mengapa Kapten Wardiman memilih pensiun dini? Agaknya dia berpikir realistis saja atas karier militernya. Daripada jungkir balik mengejar pangkat tinggi yang eksklusif untuk orang Eropa, Wardiman lebih memilih hidup tenang dengan uang pensiun.

Kapten Wardiman pun sebenarnya tidak rugi apa-apa. Di era 1920-an, pangkat

kapten KNIL

saja sudah merupakan pencapaian yang mentereng bagi priyayi Jawa.

Rekan seangkatan Wardiman, Mardjana, pun sama

belaka

. Di era 1930-an,

bahkan

ada

empat

mayor

bumiputra

yang satu almamater dengan Wardiman,

yaitu





Kawilarang, Walangitang, Soegondo, dan juga Oerip Soemohardjo. Infografik Kapten Wardiman. tirto.id/Teguh

Setelah Indonesia Merdeka

Pada 1945, setelah Jepang kalah dan Republik Indonesia lahir, Wardiman

kedatangan seorang tamu yang

usianya lebih muda darinya.

Si tamu adalah

bekas letnan kelas satu

KNIL

Didi Kartasasmita.

Didi mengabarkan bahwa

N

ederlands

I

ndie

C

ivil

A

dministration

Belanda sedang mengumpulkan kembali para mantan KNIL.

Wardiman lantas bergabung dengan militer Indonesia yang baru terbentuk. Dengan pangkat k

olonel, Wardiman menjadi

w

akil

d

irektur Akademi Militer Yogyakarta. Selain itu,

dua anak lelaki

Wardiman

juga turut bergabung dengan

Angkatan Udara Republik Indonesia (AURI).

Setelah Belanda mengakui kedaulatan RI

pada akhir 1949

, kedua anak Wardiman terus berdinas di AURI.

Seorang

di penerbangan dan

seorang lagi

di logistis AURI.

Keduanya lalu

pensiun dengan pangkat marsekal madya.

Salah

satu

anak Wardiman, seperti disebut Boediardjo dalam

(1996,

hlm.

138),",https://tirto.id/wardiman-wirjosapoetro-pilih-bela-ri-daripada-kembali-ke-knil-gnvC
4 Langkah Grab Pastikan Keamanan Penumpang dan Mitra Pengemudi,,"['Https', 'Www.Facebook.Com Tirtoid']",Grab mengimplementasikan kebijakan “zero tolerance” atas semua bentuk kekerasan dan pelecehan seksual terhadap penumpang dan mitra pengemudi.,https://tirto.id/4-langkah-grab-pastikan-keamanan-penumpang-dan-mitra-pengemudi-gnEo
Bara dalam Sekam di Kazakhstan,,"['Sekar Kinasih', 'Https', 'Www.Facebook.Com Tirtoid']","Dari luar Kazakhstan tampak tentram, ekonomi mereka baik dan politik stabil. Namun di dalamnya terdapat gejolak, yang muncul awal tahun lalu.",https://tirto.id/bara-dalam-sekam-di-kazakhstan-gnAH
Penyalin Cahaya: Puncak Gunung Es Isu Kekerasan Seksual Perfilman,,"['Gisela Swaragita', 'Https', 'Www.Facebook.Com Tirtoid']","alam utas yang ditulisnya 23 Januari, Tiara bercerita tentang hari pertama proses syuting film pendek yang ia lakoni. Tak ada yang ganjil, sampai seorang aktor senior memintanya duduk bersebelahan untuk berlatih dialog.Awalnya, Tiara tak berprasangka apa pun dan obrolan mereka berjalan normal. ""Dia senior, jadi out of respect, I tried to be polite when he wanted to chat with me,"" kata Tiara. Tak dinyana, dalam kesempatan mengobrol di ruangan berbeda, aktor senior itu tiba-tiba menghadapkan kursinya ke Tiara. ""Dan mengelus paha saya,"" ceritanya. ""Saya tidak bereaksi apa-apa, there was so much going on in my head. Saya merasa terlanggar. Saya marah.""Sutradara film pendek itu tiba-tiba masuk ruang rias, tempat Tiara dan si aktor senior berbincang. Tiara yang sudah sangat tidak nyaman memanfaatkannya untuk keluar dari sana. Sepanjang sisa proses syuting, Tiara menghindari si aktor senior, menjaga jarak. Ia tidak membicarakan hal itu pada siapa pun karena takut dianggap mengganggu proses syuting dan dianggap berlebihan, serta masih mencoba memproses insiden itu di dalam diri sendiri.Tapi, di ujung hari, si aktor senior kembali melakuan tabiat durjananya dalam sesi foto bareng. Ia dengan sengaja menarik bagian belakang celana jins Tiara, lalu menyelipkan jarinya masuk. Menahan Tiara, yang kemudian berusaha meloncat untuk melepaskan genggaman itu. ""Tapi dia malah menarik saya ke belakang, it was as if he was telling me: Hey, you've been a bad girl,"" kata Tiara. ""I froze.""Butuh waktu relatif tidak sebentar buat Tiara memproses semuanya. Ia baru buka bicara sekitar seminggu setelah kejadian, karena masih trauma dan mempertimbangkan dampak-dampak yang akan dia hadapi.",https://tirto.id/penyalin-cahaya-puncak-gunung-es-isu-kekerasan-seksual-perfilman-gnCG
"Tiongkok Luncurkan Matahari Buatan, Benarkah?",,"['Irma Garnesia', 'Https', 'Www.Facebook.Com Tirtoid']",Tidak Benar Ada Varian Baru Virus COVID-19 Bernama Delmicron,https://tirto.id/tiongkok-luncurkan-matahari-buatan-benarkah-gnBi
Kejagung Naikkan Status Proyek Satelit Kemhan ke Tahap Penyidikan,,"['Andrian Pratama Taher', 'Https', 'Www.Facebook.Com Tirtoid']","Febrie menuturkan, status penyelidikan kasus satelit naik ke penyidikan berdasarkan hasil pemeriksaan 11 saksi.",https://tirto.id/kejagung-naikkan-status-proyek-satelit-kemhan-ke-tahap-penyidikan-gnG1
Kasus Ahmadiyah Sintang: Pemkab Minta Masjid Milik JAI Dibongkar,,"['Haris Prabowo', 'Https', 'Www.Facebook.Com Tirtoid']","Zakiah Daradjat, Pelopor Pendidikan Agama di Sekolah Umum",https://tirto.id/kasus-ahmadiyah-sintang-pemkab-minta-masjid-milik-jai-dibongkar-gnGq
Mengapa Akses Layanan Keuangan untuk Perempuan Lebih Rendah?,,"['Made Anthony Iswara', 'Https', 'Www.Facebook.Com Tirtoid']","Layanan keuangan berkembang pesat dalam beberapa dekade terakhir. Namun, apakah perempuan juga menikmati perkembangan tersebut?",https://tirto.id/mengapa-akses-layanan-keuangan-untuk-perempuan-lebih-rendah-gnAn
Merunut Kasus Proyek Satelit Kemhan 2015 yang Diusut Kejagung,,"['Andrian Pratama Taher', 'Https', 'Www.Facebook.Com Tirtoid']",Kejagung resmi menaikkan status perkara proyek satelit Kemhan 2015 ke tahap penyidikan. Bagaimana duduk perkaranya?,https://tirto.id/merunut-kasus-proyek-satelit-kemhan-2015-yang-diusut-kejagung-gnG3
Gonta-ganti Seragam Satpam: Bikin Pusing Warga & Polri Tak Cermat,,"['Andrian Pratama Taher', 'Https', 'Www.Facebook.Com Tirtoid']",Bambang menilai masalah warna seragam satpam hanya satu dari beragam persoalan posisi satpam sebagai objek di bawah Polri.,https://tirto.id/gonta-ganti-seragam-satpam-bikin-pusing-warga-polri-tak-cermat-gnEh
Di Balik Peredaran Narkoba di Lingkaran Artis yang Sulit Diberantas,,"['Andrian Pratama Taher', 'Https', 'Www.Facebook.Com Tirtoid']","Slamet yang sempat jadi Kabag Humas BNN melihat tidak ada perubahan pola peredaran narkoba di kalangan artis, yakni penetrasi ke komunitas artis.",https://tirto.id/di-balik-peredaran-narkoba-di-lingkaran-artis-yang-sulit-diberantas-gnAV
Kontroversi Kenaikan Tunjangan DPRD DKI Saat Pandemi COVID-19,,"['Riyan Setiawan', 'Https', 'Www.Facebook.Com Tirtoid']","Ketua DPRD DKI berdalih bukan gaji yang naik, melainkan tunjangan. Ia klaim tunjangan naik untuk program pemerintah membantu warga.",https://tirto.id/kontroversi-kenaikan-tunjangan-dprd-dki-saat-pandemi-covid-19-gnAM
Kenapa Obat Kumur Harus Manjur?,,"['Https', 'Www.Facebook.Com Tirtoid']",Kebersihan mulut harus tetap terjaga sebab mulut adalah jalan masuk kuman dan virus. Gunakan obat kumur yang mengandung bahan alami sekaligus memberikan perlindungan ekstra untuk daya tahan gigi dan mulut. Total Care memiliki kandungan CPC untuk membunuh virus SARS-CoV-2 di rongga mulut. Bebas alkohol dan halal. #Ads,https://tirto.id/kenapa-obat-kumur-harus-manjur-glRs
"Edmund Halley: Abadi di Angkasa, Abadi di Bumi",,"['Uswatul Chabibah', 'Https', 'Www.Facebook.Com Tirtoid']",Edmund Halley tidak melihat dua kali kemunculan komet yang lekat dengan dirinya. Justru Mark Twain yang berhasil mengalaminya.,https://tirto.id/edmund-halley-abadi-di-angkasa-abadi-di-bumi-gnDu
"Bagi Pemerintah, Hak Pendidikan Pengungsi Anak Tak Jadi Prioritas",,"['Joan Aurelia', 'Https', 'Www.Facebook.Com Tirtoid']","Pemerintah telah memberi akses pendidikan ke pengungsi anak, namun penerapannya terbentur bermacam kendala administratif.",https://tirto.id/bagi-pemerintah-hak-pendidikan-pengungsi-anak-tak-jadi-prioritas-gnuj
